"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3","2","22u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C5,C6","2","47u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C7,C9,C10,C12","4","100n","","","","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~"
"J1,J2","2","AudioJack2_SwitchT","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J3","1","Conn_02x05_Odd_Even","","","","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
"R1,R3,R7,R9","4","20k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R2,R4,R5,R12","4","220R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R6,R11","2","1M","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV1,RV2,RV3,RV4,RV5,RV6","6","100k","","","","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","~"
"SW1","1","SW_DPDT_x2","","","","Reichelt:MS 500F","~"
"U1,U3","2","TL072","","","","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/tl071.pdf"
